"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 12 21:39:52 CET 2022","Mon Dec 12 21:39:53 CET 2022","584","tests.login_tests","test_login_2","LoginNegativeTests","","","test_login_inputs[B]",""
"passed","Mon Dec 12 21:39:50 CET 2022","Mon Dec 12 21:39:50 CET 2022","567","tests.login_tests","test_login_2","LoginNegativeTests","","","test_email_inputs[Baro]",""
"passed","Mon Dec 12 21:39:49 CET 2022","Mon Dec 12 21:39:49 CET 2022","585","tests.login_tests","test_login_2","LoginNegativeTests","","","test_email_inputs[a]",""
"passed","Mon Dec 12 21:39:51 CET 2022","Mon Dec 12 21:39:52 CET 2022","569","tests.login_tests","test_login_2","LoginNegativeTests","","","test_email_inputs[ ]",""
"passed","Mon Dec 12 21:39:55 CET 2022","Mon Dec 12 21:39:55 CET 2022","693","tests.login_tests","test_login_2","LoginNegativeTests","","","test_login_inputs[@]",""
"passed","Mon Dec 12 21:39:53 CET 2022","Mon Dec 12 21:39:53 CET 2022","574","tests.login_tests","test_login_2","LoginNegativeTests","","","test_login_inputs[Baro]",""
"passed","Mon Dec 12 21:39:49 CET 2022","Mon Dec 12 21:39:50 CET 2022","541","tests.login_tests","test_login_2","LoginNegativeTests","","","test_email_inputs[Yaro]",""
"passed","Mon Dec 12 21:39:54 CET 2022","Mon Dec 12 21:39:54 CET 2022","615","tests.login_tests","test_login_2","LoginNegativeTests","","","test_login_inputs[ ]",""
"passed","Mon Dec 12 21:39:42 CET 2022","Mon Dec 12 21:39:43 CET 2022","1051","tests.login_tests","test_login_1","LoginPossitiveTests","","","test_login",""
"passed","Mon Dec 12 21:39:47 CET 2022","Mon Dec 12 21:39:49 CET 2022","1542","tests.login_tests","test_login_2","LoginNegativeTests","","","test_go_to_page",""
"passed","Mon Dec 12 21:39:51 CET 2022","Mon Dec 12 21:39:51 CET 2022","532","tests.login_tests","test_login_2","LoginNegativeTests","","","test_email_inputs[@]",""
"passed","Mon Dec 12 21:39:50 CET 2022","Mon Dec 12 21:39:51 CET 2022","566","tests.login_tests","test_login_2","LoginNegativeTests","","","test_email_inputs[YaroBaro.com]",""
"passed","Mon Dec 12 21:39:41 CET 2022","Mon Dec 12 21:39:42 CET 2022","1390","tests.login_tests","test_login_1","LoginPossitiveTests","","","test_go_to_page",""
"passed","Mon Dec 12 21:39:53 CET 2022","Mon Dec 12 21:39:54 CET 2022","607","tests.login_tests","test_login_2","LoginNegativeTests","","","test_login_inputs[BaroYaro]",""
